ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
ACE LEADERSHIP HIGH SCHOOL,New Mexico,http://aceleadership.org/,NM ,1-Regular school,1-Yes,†,11-City: Large,420,9th Grade,12th Grade,420,13,="0",377,="0",28,="0",2,26.25,16.00
ACE TECHNICAL CHARTER HIGH SCHOOL,Illinois,†,IL ,1-Regular school,1-Yes,2-No,11-City: Large,433,9th Grade,12th Grade,433,="0",="0",60,367,5,="0",1,61.86,7.00
ACES HIGH SCHOOL,Washington,†,WA ,4-Alternative/other school,2-No,–,12-City: Mid-size,188,9th Grade,12th Grade,188,3,5,73,9,83,2,13,16.35,11.50
ACHIEVE EARLY COLLEGE H S,Texas,†,TX ,1-Regular school,2-No,2-No,12-City: Mid-size,428,9th Grade,12th Grade,428,="0",7,411,1,8,="0",1,23.70,18.06
ACHIEVE VIRTUAL EDUCATION ACADEMY,Indiana,†,IN ,1-Regular school,2-No,2-No,11-City: Large,201,9th Grade,12th Grade,201,="0",3,14,21,151,="0",12,6.48,31.00
ACHIEVEMENT ACADEMY @ HARBOR CITY HIGH,Maryland,†,MD ,4-Alternative/other school,2-No,2-No,11-City: Large,340,9th Grade,12th Grade,340,2,="0",3,335,="0",="0",="0",14.78,23.00
ACHILLE HS,Oklahoma,http://www.achilleisd.org/,OK ,1-Regular school,2-No,†,42-Rural: Distant,100,9th Grade,12th Grade,100,28,="0",3,3,62,="0",4,15.55,6.43
ACKERSON LAKE COMMUNITY EDUCATION,Michigan,www.napoleonschools.org,MI ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,51,9th Grade,12th Grade,51,="0",="0",6,="0",45,="0",="0",14.57,3.50
ACORN COMMUNITY HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,366,9th Grade,12th Grade,366,1,6,47,303,7,–,2,13.68,26.76
ACT ACADEMY CYBER CS,Pennsylvania,www.actacademycs.org,PA ,1-Regular school,1-Yes,2-No,11-City: Large,89,9th Grade,12th Grade,89,="0",="0",2,75,8,="0",4,13.19,6.75
ACTON-BOXBOROUGH REGIONAL HIGH,Massachusetts,http://ab.mec.edu/abrhs/,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1902,9th Grade,12th Grade,1902,4,497,62,26,1248,="0",65,15.20,125.14
ADA-BORUP AREA LEARNING PROGRAM,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,43-Rural: Remote,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ADAIR COUNTY HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,33-Town: Remote,792,9th Grade,12th Grade,792,2,="0",31,28,719,1,11,17.22,46.00
ADAIR HS,Oklahoma,http://www.adair.k12.ok.us,OK ,1-Regular school,2-No,†,42-Rural: Distant,311,9th Grade,12th Grade,311,139,1,4,="0",164,1,2,16.48,18.87
ADAIR YOUTH DEVELOPMENT CENTER,Kentucky,†,KY ,4-Alternative/other school,†,2-No,41-Rural: Fringe,23,9th Grade,12th Grade,23,1,="0",="0",7,15,="0",="0",2.88,8.00
ADAIRSVILLE HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,41-Rural: Fringe,948,9th Grade,12th Grade,948,="0",1,55,43,833,="0",16,16.72,56.70
ADAMS CENTRAL HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,42-Rural: Distant,374,9th Grade,12th Grade,374,1,="0",12,1,357,1,2,11.56,32.35
ADAMS CITY HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,41-Rural: Fringe,1782,9th Grade,12th Grade,1782,11,3,1491,45,216,1,15,21.66,82.28
ADAMS HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,12-City: Mid-size,1750,9th Grade,12th Grade,1750,3,56,306,498,724,2,161,17.59,99.51
ADAMS-FRIENDSHIP HIGH,Wisconsin,www.afasd.net,WI ,1-Regular school,2-No,2-No,43-Rural: Remote,489,9th Grade,12th Grade,489,5,1,31,5,444,1,2,13.41,36.47
ADDISON HIGH SCHOOL,Michigan,addisonschools.org,MI ,1-Regular school,2-No,2-No,42-Rural: Distant,269,9th Grade,12th Grade,269,1,2,15,3,239,="0",9,24.06,11.18
ADDISON TRAIL HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,2039,9th Grade,12th Grade,2039,8,76,1245,57,628,="0",25,16.50,123.61
ADELANTE HIGH,California,†,CA ,4-Alternative/other school,2-No,2-No,42-Rural: Distant,3,9th Grade,12th Grade,3,="0",="0",3,="0",="0",="0",="0",6.00,="0.50"
ADELANTE HIGH (CONTINUATION),California,†,CA ,4-Alternative/other school,2-No,2-No,12-City: Mid-size,102,9th Grade,12th Grade,102,3,1,48,3,39,1,7,9.23,11.05
ADELANTO HIGH,California,www.vvuhsd.org,CA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1695,9th Grade,12th Grade,1695,6,25,1076,442,87,14,45,23.38,72.50
ADENA HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,42-Rural: Distant,333,9th Grade,12th Grade,333,="0",="0",="0",5,317,="0",11,20.81,16.00
ADIRONDACK HIGH SCHOOL,New York,www.adirondackcsd.org,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,394,9th Grade,12th Grade,394,="0",1,3,5,385,–,="0",12.33,31.95
ADLAI E STEVENSON HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,3932,9th Grade,12th Grade,3932,9,981,295,58,2487,="0",102,14.17,277.45
ADM SENIOR HIGH SCHOOL,Iowa,www.adm.k12.ia.us,IA ,1-Regular school,2-No,†,31-Town: Fringe,479,9th Grade,12th Grade,479,1,1,8,1,459,="0",9,14.64,32.71
ADMIRAL ARTHUR W RADFORD HIGH SCHOOL,Hawaii,†,HI ,1-Regular school,2-No,†,21-Suburb: Large,1330,9th Grade,12th Grade,1330,8,325,157,149,404,146,141,17.97,74.00
ADMIRAL PEARY AVTS,Pennsylvania,http://www.admiralpeary.tec.pa.us,PA ,3-Vocational school,2-No,2-No,31-Town: Fringe,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",17.00
ADMIRAL WILLIAM F. HALSEY JR. HEALTH & PUBLIC SAFETY ACADEMY,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,1303,9th Grade,12th Grade,1303,="0",11,929,298,63,2,="0",12.18,107.00
ADOLFO CAMARILLO HIGH,California,†,CA ,1-Regular school,2-No,2-No,13-City: Small,2418,9th Grade,12th Grade,2418,6,246,978,40,1057,8,83,26.70,90.56
ADRIAN HIGH SCHOOL,Oregon,www.adrian.k12.or.us,OR ,1-Regular school,2-No,†,42-Rural: Distant,79,9th Grade,12th Grade,79,="0",2,19,="0",54,="0",4,13.17,6.00
ADRIAN SECONDARY,Minnesota,http://adrianschool.net,MN ,1-Regular school,2-No,2-No,43-Rural: Remote,180,9th Grade,12th Grade,180,2,4,17,2,154,="0",1,14.47,12.44
ADRIAN WILCOX HIGH,California,†,CA ,1-Regular school,2-No,2-No,12-City: Mid-size,1977,9th Grade,12th Grade,1977,8,662,733,48,438,13,75,23.24,85.07
ADULT ACADEMICS,Minnesota,http://rdale.org/,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,2,9th Grade,12th Grade,2,="0",="0",="0",="0",2,="0",="0",="0.21",9.53
ADULT ED,Texas,www.bisd.us/Adult_Continuing_Education,TX ,4-Alternative/other school,2-No,2-No,12-City: Mid-size,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ADULT WORK CENTER,Michigan,www.tbaisd.k12.mi.us,MI ,2-Special education school,2-No,2-No,33-Town: Remote,52,9th Grade,12th Grade,52,="0",="0",3,2,47,="0",="0",2.48,21.00
ADVANCED TECHNOLOGIES ACADEMY,Nevada,†,NV ,1-Regular school,2-No,1-Yes,11-City: Large,1097,9th Grade,12th Grade,1097,3,224,387,100,272,16,95,19.95,55.00
ADVANCED VIRTUAL ACADEMY,Texas,www.houstonisd.org,TX ,4-Alternative/other school,1-Yes,2-No,11-City: Large,308,9th Grade,12th Grade,308,="0",1,210,87,8,="0",2,61.60,5.00
AEROSPACE/HYDROSPACE ENGINEERING AND PHYSICAL SCIENCES HS,Connecticut,†,CT ,1-Regular school,2-No,1-Yes,12-City: Mid-size,494,9th Grade,12th Grade,494,2,24,147,174,144,="0",3,15.44,32.00
AFFTON HIGH,Missouri,www.afftonschools.net,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,773,9th Grade,12th Grade,773,="0",25,33,70,601,1,43,16.87,45.81
AFTERSCHOOL PROGRAM,Minnesota,http://www.dlschools.com/,MN ,4-Alternative/other school,2-No,2-No,33-Town: Remote,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
AFTON HS,Oklahoma,www.aftonschools.net,OK ,1-Regular school,2-No,†,42-Rural: Distant,175,9th Grade,12th Grade,175,66,="0",4,="0",105,="0",="0",14.42,12.14
AGAWAM HIGH,Massachusetts,www.agawampublicschools.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1249,9th Grade,12th Grade,1249,1,26,76,17,1102,2,25,12.83,97.36
AGOURA HIGH,California,www.ahschargers.com,CA ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,2075,9th Grade,12th Grade,2075,13,153,216,30,1604,1,58,25.14,82.53
AGRA HS,Oklahoma,http://www.agra.k12.ok.us/,OK ,1-Regular school,2-No,†,42-Rural: Distant,94,9th Grade,12th Grade,94,36,="0",5,3,50,="0",="0",9.82,9.57
AGUA FRIA HIGH SCHOOL,Arizona,http://www.aguafria.org/afhs,AZ ,1-Regular school,2-No,–,22-Suburb: Mid-size,1736,9th Grade,12th Grade,1736,13,29,1121,193,341,5,34,18.06,96.10
AGWSR HIGH SCHOOL,Iowa,www.agwsr.org,IA ,1-Regular school,2-No,†,42-Rural: Distant,157,9th Grade,12th Grade,157,="0",="0",13,1,140,="0",3,10.70,14.67
AHWAHNEE HIGH,California,www.yosemiteusd.com,CA ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,22,9th Grade,12th Grade,22,="0",="0",2,="0",16,="0",4,18.80,1.17
AIEA HIGH SCHOOL,Hawaii,†,HI ,1-Regular school,2-No,†,21-Suburb: Large,1048,9th Grade,12th Grade,1048,2,467,80,22,65,329,83,16.25,64.50
AIKEN HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,21-Suburb: Large,1432,9th Grade,12th Grade,1432,3,2,80,592,705,2,48,18.13,79.00
AIKEN PERFORMING ARTS ACADEMY CHARTER,South Carolina,†,SC ,1-Regular school,1-Yes,2-No,21-Suburb: Large,46,9th Grade,12th Grade,46,1,="0",1,21,20,="0",3,18.40,2.50
AIM,Connecticut,†,CT ,2-Special education school,2-No,2-No,31-Town: Fringe,9,9th Grade,12th Grade,9,="0",="0",="0",="0",9,="0",="0",9.00,1.00
AIM CENTER H S,Texas,www.vidor.k12.tx.us,TX ,4-Alternative/other school,2-No,2-No,22-Suburb: Mid-size,63,9th Grade,12th Grade,63,="0",1,5,="0",55,="0",2,5.81,10.85
AIM HIGH SCHOOL,Washington,www.sno.wednet.edu,WA ,4-Alternative/other school,2-No,–,22-Suburb: Mid-size,152,9th Grade,12th Grade,152,1,4,16,2,122,="0",7,32.90,4.62
AINSWORTH HIGH SCHOOL,Nebraska,†,NE ,1-Regular school,†,†,43-Rural: Remote,148,9th Grade,12th Grade,148,3,="0",2,="0",141,="0",2,9.95,14.88
AIR ACADEMY HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,41-Rural: Fringe,1370,9th Grade,12th Grade,1370,9,29,183,44,1021,5,79,19.13,71.60
AIR FORCE ACAD HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,11-City: Large,327,9th Grade,12th Grade,327,="0",12,138,139,36,="0",2,18.24,17.93
AIRPORT HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,21-Suburb: Large,1341,9th Grade,12th Grade,1341,3,4,104,483,699,3,45,15.07,89.00
AIRPORT MIDDLE COLLEGE,MICHIGAN,†,MI ,1-Regular school,2-No,2-No,41-Rural: Fringe,7,9th Grade,12th Grade,7,="0",="0",="0",="0",7,="0",="0",†,="0.00"
AITKIN ALTERNATIVE LEARNING PROGRAM,Minnesota,http://www.aitkin.k12.mn.us,MN ,4-Alternative/other school,2-No,2-No,42-Rural: Distant,12,9th Grade,12th Grade,12,="0",="0",="0",="0",12,="0",="0",15.00,="0.80"
AJO HIGH SCHOOL,Arizona,www.ajoschools.org,AZ ,1-Regular school,2-No,–,33-Town: Remote,118,9th Grade,12th Grade,118,16,5,81,="0",15,="0",1,16.86,7.00
AKINS H S,Texas,†,TX ,1-Regular school,2-No,2-No,11-City: Large,2713,9th Grade,12th Grade,2713,2,76,2084,222,285,3,41,16.60,163.42
AKRON ALTERNATIVE ACADEMY,Ohio,†,OH ,1-Regular school,2-No,–,12-City: Mid-size,252,9th Grade,12th Grade,252,1,9,7,163,56,="0",16,22.91,11.00
AKRON EARLY COLLEGE HIGH SCHOOL,Ohio,www.akronschools.com,OH ,1-Regular school,2-No,–,12-City: Mid-size,343,9th Grade,12th Grade,343,="0",47,15,135,124,="0",22,49.00,7.00
AKRON HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,43-Rural: Remote,112,9th Grade,12th Grade,112,="0",2,16,="0",91,="0",3,8.07,13.87
AKRON HIGH SCHOOL,New York,www.akronschools.org,NY ,1-Regular school,2-No,2-No,31-Town: Fringe,442,9th Grade,12th Grade,442,57,2,3,2,376,–,2,15.87,27.86
AKRON STEM HIGH SCHOOL,Ohio,www.akronschools.com,OH ,1-Regular school,2-No,–,12-City: Mid-size,319,9th Grade,12th Grade,319,="0",14,12,112,152,="0",29,24.54,13.00
AKRON WESTFIELD SENIOR HIGH SCHOOL,Iowa,www.akron-westfield.com,IA ,1-Regular school,2-No,†,42-Rural: Distant,160,9th Grade,12th Grade,160,="0",5,14,="0",134,="0",7,11.37,14.07
AL KENNEDY ALTERNATIVE HIGH SCHOOL,Oregon,blogs.slane.k12.or.us/kennedy/,OR ,4-Alternative/other school,2-No,†,32-Town: Distant,89,9th Grade,12th Grade,89,4,="0",4,="0",77,="0",4,14.13,6.30
ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES,Florida,www.mycroschool.org,FL ,4-Alternative/other school,1-Yes,2-No,12-City: Mid-size,282,9th Grade,12th Grade,282,="0",1,23,192,50,="0",16,35.25,8.00
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY,California,†,CA ,1-Regular school,1-Yes,2-No,11-City: Large,1684,9th Grade,12th Grade,1684,5,="0",1190,454,4,="0",31,18.71,90.01
ALAMANCE-BURLINGTON MIDDLE COLLEGE,North Carolina,amc.abss.k12.nc.us,NC ,1-Regular school,2-No,2-No,41-Rural: Fringe,103,9th Grade,12th Grade,103,="0",1,15,20,60,="0",7,13.73,7.50
ALAMEDA HIGH,California,†,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,1718,9th Grade,12th Grade,1718,3,784,204,112,534,13,68,22.12,77.67
ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,California,†,CA ,4-Alternative/other school,2-No,1-Yes,21-Suburb: Large,175,9th Grade,12th Grade,175,="0",123,15,7,22,4,4,28.69,6.10
ALAMO HEIGHTS H S,Texas,www.ahisd.net,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,1553,9th Grade,12th Grade,1553,6,49,633,25,839,="0",1,14.03,110.69
ALAMOGORDO HIGH,New Mexico,http://www.aps4kids.org/AlamogordoHigh.cfm,NM ,1-Regular school,2-No,†,33-Town: Remote,1349,9th Grade,12th Grade,1349,20,30,473,120,681,6,19,15.68,86.04
ALAMOSA HIGH SCHOOL,Colorado,http://alamosa.k12.co.us,CO ,1-Regular school,2-No,2-No,33-Town: Remote,576,9th Grade,12th Grade,576,7,8,352,5,197,2,5,17.87,32.24
ALBANY HIGH,California,†,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,1210,9th Grade,12th Grade,1210,3,367,201,59,450,4,126,19.27,62.80
ALBANY HIGH,Missouri,†,MO ,1-Regular school,2-No,2-No,43-Rural: Remote,112,9th Grade,12th Grade,112,="0",="0",="0",="0",111,1,="0",11.37,9.85
ALBANY HIGH,Wisconsin,www.albany.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,109,9th Grade,12th Grade,109,1,2,3,2,100,="0",1,7.80,13.98
ALBANY HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,13-City: Small,837,9th Grade,12th Grade,837,14,1,14,746,48,6,8,16.91,49.50
ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,New York,www.albanyleadershiphigh.org,NY ,1-Regular school,1-Yes,2-No,13-City: Small,363,9th Grade,12th Grade,363,1,17,26,315,4,–,="0",10.94,33.19
ALBANY OPTIONS SCHOOL,Oregon,www.albany.k12.or.us/aos/,OR ,4-Alternative/other school,2-No,†,13-City: Small,398,9th Grade,12th Grade,398,5,2,86,2,295,="0",8,49.75,8.00
ALBANY SENIOR HIGH,Minnesota,http://www.albany.k12.mn.us/,MN ,1-Regular school,2-No,2-No,32-Town: Distant,541,9th Grade,12th Grade,541,1,3,12,4,519,="0",2,16.75,32.30
ALBEMARLE HIGH,North Carolina,ahs.stanlycountyschools.org,NC ,1-Regular school,2-No,2-No,32-Town: Distant,415,9th Grade,12th Grade,415,2,23,39,162,161,="0",28,14.16,29.30
ALBEMARLE HIGH,Virginia,http://www2.k12albemarle.org/school/ahs/Pages/default.aspx,VA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1973,9th Grade,12th Grade,1973,6,142,201,302,1231,1,90,13.57,145.37
ALBERT EINSTEIN CONTINUATION,California,†,CA ,4-Alternative/other school,2-No,2-No,11-City: Large,72,9th Grade,12th Grade,72,="0",="0",64,1,4,="0",3,20.57,3.50
ALBERT EINSTEIN HIGH,Maryland,http://www.montgomeryschoolsmd.org/schools/einstei,MD ,1-Regular school,2-No,2-No,21-Suburb: Large,1689,9th Grade,12th Grade,1689,4,164,798,334,342,="0",47,15.50,109.00
ALBERT GALLATIN AREA SHS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1111,9th Grade,12th Grade,1111,="0",2,11,50,1031,2,15,16.72,66.45
ALBERT M LOWRY HIGH SCHOOL,Nevada,†,NV ,1-Regular school,2-No,2-No,33-Town: Remote,968,9th Grade,12th Grade,968,18,13,348,3,561,4,21,20.60,47.00
ALBERT P BREWER HIGH SCH,Alabama,www.apbrewer.org,AL ,1-Regular school,2-No,2-No,42-Rural: Distant,909,9th Grade,12th Grade,909,9,="0",41,21,831,="0",7,16.11,56.44
ALBERTON HIGH SCHOOL,Montana,alberton.k12.mt.us,MT ,1-Regular school,†,2-No,42-Rural: Distant,32,9th Grade,12th Grade,32,="0",="0",1,="0",28,="0",3,6.64,4.82
ALBERTVILLE HIGH SCH,Alabama,aggies.albertk12.org,AL ,1-Regular school,2-No,2-No,32-Town: Distant,1290,9th Grade,12th Grade,1290,2,6,470,36,762,2,12,19.17,67.28
ALBIA HIGH SCHOOL,Iowa,www.albia.k12.ia.us,IA ,1-Regular school,2-No,†,33-Town: Remote,352,9th Grade,12th Grade,352,1,2,16,6,322,1,4,13.88,25.36
ALBUQUERQUE HIGH,New Mexico,http://www.albuquerquebulldogs.com/,NM ,1-Regular school,2-No,†,11-City: Large,1723,9th Grade,12th Grade,1723,49,18,1323,49,241,3,40,20.00,86.15
ALBURNETT SENIOR HIGH SCHOOL,Iowa,www.alburnettcsd.org,IA ,1-Regular school,2-No,†,41-Rural: Fringe,198,9th Grade,12th Grade,198,1,="0",5,1,190,="0",1,13.16,15.04
ALC - GATEWAY - EY,MINNESOTA,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ALC CONNECTIONS,Minnesota,www.spps.org,MN ,4-Alternative/other school,2-No,2-No,11-City: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ALC CREDIT RECOVERY,Minnesota,http://www.district279.org/sec/oalc/,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ALC EDEN PRAIRIE HS-IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,13-City: Small,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",="0.28"
ALC EDINA HS ALTERNATIVE - IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ALC EVENING HIGH SCHOOL,Minnesota,www.spps.org,MN ,4-Alternative/other school,2-No,2-No,11-City: Large,46,9th Grade,12th Grade,46,="0",19,12,12,2,="0",1,40.35,1.14
ALC INDEPENDENT STUDY,Minnesota,http://www.district279.org/sec/oalc/,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,6,9th Grade,12th Grade,6,="0",="0",2,4,="0",="0",="0",–,–
ALC NIGHT SCHOOL,MINNESOTA,http://www.owatonnaalc.portal.rschooltoday.com/,MN ,4-Alternative/other school,2-No,2-No,32-Town: Distant,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ALC ONLINE SCHOOL,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,11-City: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ALC RICHFIELD HS-IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",="0.62"
ALC SENIOR HIGH,Minnesota,http://www.district279.org/sec/oalc/,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,151,9th Grade,12th Grade,151,1,12,28,56,32,="0",22,12.18,12.40
ALC SR HIGH SUMMER SCHOOL,Minnesota,http://www.district279.org/sec/oalc/,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ALC-ORONO HIGH SCHOOL IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
ALCESTER-HUDSON HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,43-Rural: Remote,86,9th Grade,12th Grade,86,="0",="0",1,1,84,="0",="0",9.13,9.42
ALCOA HIGH SCHOOL,Tennessee,www.alcoas,TN ,1-Regular school,2-No,2-No,21-Suburb: Large,606,9th Grade,12th Grade,606,="0",7,33,117,403,1,45,16.25,37.30
ALCORN CENTRAL HIGH SCHOOL,Mississippi,http://ach.alcorn.k12.ms.us,MS ,1-Regular school,2-No,2-No,41-Rural: Fringe,420,9th Grade,12th Grade,420,="0",2,4,="0",410,1,3,14.00,30.01
ALCORN CO VOC COMPLEX,Mississippi,http://www.alcorn.k12.ms.us/actc/index.htm,MS ,3-Vocational school,2-No,2-No,33-Town: Remote,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,11.00
ALCOTT HUMANITIES HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,11-City: Large,308,9th Grade,12th Grade,308,1,4,204,63,32,="0",4,5.94,51.88
ALCOVY HIGH SCHOOL,Georgia,newtoncountyschools.org,GA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1964,9th Grade,12th Grade,1964,2,14,103,1027,741,1,76,18.87,104.10
ALDEN SENIOR HIGH SCHOOL,New York,www.aldenschools.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,568,9th Grade,12th Grade,568,="0",5,2,9,550,–,2,14.71,38.61
ALDEN-HEBRON HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,110,9th Grade,12th Grade,110,="0",1,28,1,79,="0",1,10.19,10.80
ALDINE H S,Texas,www.aldine.k12.tx.us,TX ,1-Regular school,2-No,2-No,11-City: Large,2494,9th Grade,12th Grade,2494,2,25,2243,176,45,="0",3,15.97,156.21
ALEDO H S,Texas,aledo.schoolfusion.us,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,1168,9th Grade,12th Grade,1168,7,7,121,27,977,="0",29,16.79,69.56
ALEE ACADEMY CHARTER SCHOOL,Florida,http://www.aleeacademy.org,FL ,4-Alternative/other school,1-Yes,2-No,41-Rural: Fringe,299,9th Grade,12th Grade,299,3,="0",41,119,123,="0",13,29.90,10.00
ALESSANDRO HIGH,California,†,CA ,4-Alternative/other school,2-No,2-No,22-Suburb: Mid-size,350,9th Grade,12th Grade,350,3,2,190,52,86,4,13,21.08,16.60
ALEX HS,Oklahoma,www.alex.k12.ok.us,OK ,1-Regular school,2-No,†,42-Rural: Distant,92,9th Grade,12th Grade,92,4,="0",4,="0",79,1,4,14.35,6.41
ALEXANDER CENTRAL HIGH,North Carolina,www.alexander.k12.nc.us/alexandercentral,NC ,1-Regular school,2-No,2-No,31-Town: Fringe,1519,9th Grade,12th Grade,1519,2,27,102,69,1275,="0",44,15.81,96.09
ALEXANDER HAMILTON PREPARATORY ACADEMY,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,989,9th Grade,12th Grade,989,="0",16,723,178,72,="0",="0",13.74,72.00
ALEXANDER HAMILTON SENIOR HIGH,California,http://hamiltonhs-lausd-ca.schoolloop.com,CA ,1-Regular school,2-No,1-Yes,11-City: Large,2879,9th Grade,12th Grade,2879,7,111,1431,819,441,12,58,24.96,115.33
ALEXANDER HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,1737,9th Grade,12th Grade,1737,1,18,145,427,1063,3,80,17.96,96.70
ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,Florida,www.awdsoa.org,FL ,1-Regular school,2-No,1-Yes,12-City: Mid-size,1400,9th Grade,12th Grade,1400,2,80,295,141,806,2,74,19.18,73.00
ALEXANDRIA AREA HIGH SCHOOL,Minnesota,www.alexandria.k12.mn.us,MN ,1-Regular school,2-No,2-No,41-Rural: Fringe,1211,9th Grade,12th Grade,1211,8,8,14,16,1153,="0",12,16.86,71.84
